# Black: GNU Go
# BlackCommand: gnugo --mode gtp
# BlackLabel: GNU Go
# BlackVersion: 3.8
# Date: December 4, 2011 2:31:01 AM PST
# Host: dleary-macbook
# Komi: 6.5
# Referee: -
# Size: 9
# White: cy-kill
# WhiteCommand: /Users/dleary/dev/cy-kill/cy-kill "seed_rng 42"
# WhiteLabel: cy-kill
# WhiteVersion: 0.1
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
130	B+74.5	?	?	0	-	70	28.7	8	28.6	0	0	
131	B+86.5	?	?	1	-	58	22.3	7	22.2	0	0	
132	B+78.5	?	?	0	-	82	26.8	8.9	26.7	0	0	
133	B+87.5	?	?	1	-	66	24.2	7.6	24.2	0	0	
134	B+73.5	?	?	0	-	71	29.7	7.8	29.6	0	0	
135	B+87.5	?	?	1	-	64	31.9	7.4	31.8	0	0	
136	B+73.5	?	?	0	-	49	28.1	5.9	28.8	0	0	
137	B+86.5	?	?	1	-	66	72.4	7.7	72.2	0	0	
138	B+72.5	?	?	0	-	67	21.7	7.6	21.7	0	0	
139	B+87.5	?	?	1	-	66	14.9	7.6	15.1	0	0	
140	B+71.5	?	?	0	-	71	14.3	8	14.3	0	0	
141	B+87.5	?	?	1	-	70	23.8	8	23.8	0	0	
142	B+73.5	?	?	0	-	71	27.6	7.8	27.6	0	0	
143	B+87.5	?	?	1	-	74	26.6	8.1	26.5	0	0	
144	B+73.5	?	?	0	-	69	17.6	7.9	17.5	0	0	
145	B+87.5	?	?	1	-	64	51.7	7.3	51.5	0	0	
146	B+73.5	?	?	0	-	65	29.1	7.4	29	0	0	
147	B+87.5	?	?	1	-	64	14.9	7.4	15	0	0	
148	B+76.5	?	?	0	-	74	30.6	8.3	30.4	0	0	
149	B+87.5	?	?	1	-	74	24.5	8.2	24.5	0	0	
150	B+73.5	?	?	0	-	77	18.8	8.4	18.7	0	0	
151	B+86.5	?	?	1	-	60	21.9	7.1	22	0	0	
152	B+73.5	?	?	0	-	63	18.1	7	18.2	0	0	
153	B+87.5	?	?	1	-	52	18.3	6.3	19	0	0	
154	B+79.5	?	?	0	-	82	27.2	8.9	27.1	0	0	
155	B+87.5	?	?	1	-	70	25.6	7.9	25.6	0	0	
156	B+72.5	?	?	0	-	77	27.8	8.4	27.8	0	0	
157	B+87.5	?	?	1	-	68	24.2	7.7	24.1	0	0	
158	B+71.5	?	?	0	-	67	29	7.6	29	0	0	
159	B+87.5	?	?	1	-	50	19.4	6.1	20	0	0	
160	B+73.5	?	?	0	-	63	12.7	7.4	12.8	0	0	
161	B+87.5	?	?	1	-	64	17.8	7.3	17.8	0	0	
162	B+80.5	?	?	0	-	88	20.9	9.2	20.8	0	0	
163	B+86.5	?	?	1	-	64	13	7.4	13	0	0	
164	B+73.5	?	?	0	-	69	23.5	7.7	23.5	0	0	
165	B+85.5	?	?	1	-	62	6.4	7.3	6.6	0	0	
166	B+80.5	?	?	0	-	86	16.4	9	16.3	0	0	
167	B+87.5	?	?	1	-	68	21.8	8	21.7	0	0	
168	B+72.5	?	?	0	-	79	18.8	8.5	18.7	0	0	
169	B+87.5	?	?	1	-	56	45.5	6.7	45.7	0	0	
170	B+73.5	?	?	0	-	51	53.1	6.1	53.5	0	0	
171	B+85.5	?	?	1	-	68	35.6	7.9	35.5	0	0	
172	B+73.5	?	?	0	-	74	12.6	8.1	12.6	0	0	
173	B+85.5	?	?	1	-	68	14.7	7.4	14.7	0	0	
174	B+73.5	?	?	0	-	75	50.9	8.3	50.6	0	0	
175	B+87.5	?	?	1	-	74	29.2	8.3	29.1	0	0	
176	B+89.5	?	?	0	-	104	18.8	10.7	18.7	0	0	
177	B+86.5	?	?	1	-	60	45.1	7.2	45.1	0	0	
178	B+73.5	?	?	0	-	72	48.2	8.3	47.9	0	0	
179	B+87.5	?	?	1	-	70	25.8	7.9	25.7	0	0	
180	B+86.5	?	?	0	-	100	34.2	9.9	34.1	0	0	
181	B+87.5	?	?	1	-	62	20.2	7.2	20.2	0	0	
182	B+72.5	?	?	0	-	59	42.7	6.9	42.8	0	0	
183	B+86.5	?	?	1	-	72	24.8	7.9	24.7	0	0	
184	B+72.5	?	?	0	-	69	12.6	7.8	12.6	0	0	
185	B+87.5	?	?	1	-	62	24	7.3	23.9	0	0	
186	B+78.5	?	?	0	-	80	12.4	8.7	12.4	0	0	
187	B+87.5	?	?	1	-	70	14.3	7.8	14.3	0	0	
188	B+73.5	?	?	0	-	63	32.2	7.2	32.1	0	0	
189	B+87.5	?	?	1	-	66	17.5	7.6	17.6	0	0	
190	B+75.5	?	?	0	-	78	15.1	8.3	15.1	0	0	
191	B+86.5	?	?	1	-	66	22.1	7.6	22.1	0	0	
192	B+80.5	?	?	0	-	82	24.3	8.9	24.2	0	0	
193	B+87.5	?	?	1	-	72	17	8.1	17	0	0	
194	B+73.5	?	?	0	-	71	12.1	7.8	12.2	0	0	
195	B+86.5	?	?	1	-	66	20.7	7.6	20.8	0	0	
196	B+73.5	?	?	0	-	45	29	5.5	30.6	0	0	
197	B+87.5	?	?	1	-	72	30.2	8	30.1	0	0	
198	B+73.5	?	?	0	-	73	30.3	8.1	30.2	0	0	
199	B+87.5	?	?	1	-	68	40	8	39.8	0	0	
200	B+73.5	?	?	0	-	57	31.8	6.7	31.8	0	0	
201	B+87.5	?	?	1	-	64	17.8	7.4	17.9	0	0	
202	B+74.5	?	?	0	-	66	34.5	7.7	34.3	0	0	
203	B+86.5	?	?	1	-	60	21.9	7.1	22.2	0	0	
204	B+73.5	?	?	0	-	65	26.8	7.6	26.8	0	0	
205	B+87.5	?	?	1	-	60	24.6	7.1	24.7	0	0	
206	B+73.5	?	?	0	-	71	32.7	7.9	32.7	0	0	
207	B+87.5	?	?	1	-	60	12.3	7	12.4	0	0	
208	B+72.5	?	?	0	-	63	24.1	7.3	24.2	0	0	
209	B+87.5	?	?	1	-	70	35.1	7.9	34.9	0	0	
210	B+78.5	?	?	0	-	80	54.1	8.6	53.8	0	0	
211	B+87.5	?	?	1	-	60	6.3	7	6.5	0	0	
212	B+84.5	?	?	0	-	102	23	10.1	22.9	0	0	
213	B+86.5	?	?	1	-	66	33.6	7.7	33.5	0	0	
214	B+79.5	?	?	0	-	82	23.8	8.8	23.7	0	0	
215	B+86.5	?	?	1	-	72	28.6	8	28.4	0	0	
216	B+78.5	?	?	0	-	86	14.6	8.9	14.6	0	0	
217	B+87.5	?	?	1	-	74	16	8.6	16.1	0	0	
218	B+73.5	?	?	0	-	67	15.8	7.7	15.8	0	0	
219	B+87.5	?	?	1	-	66	10.6	7.5	10.7	0	0	
220	B+73.5	?	?	0	-	73	23.5	8	23.5	0	0	
221	B+87.5	?	?	1	-	64	22.5	7.5	22.5	0	0	
222	B+83.5	?	?	0	-	88	16.8	9.5	16.7	0	0	
223	B+87.5	?	?	1	-	64	20.2	7.5	20.2	0	0	
224	B+73.5	?	?	0	-	66	18.7	7.7	18.6	0	0	
225	B+86.5	?	?	1	-	72	19.8	8.2	19.8	0	0	
226	B+71.5	?	?	0	-	73	28.6	8.2	28.4	0	0	
227	B+87.5	?	?	1	-	54	11.5	6.4	11.8	0	0	
228	B+84.5	?	?	0	-	92	26.7	9.5	26.5	0	0	
229	B+86.5	?	?	1	-	70	29.1	7.8	29	0	0	
230	B+73.5	?	?	0	-	73	39.6	8	39.5	0	0	
231	B+87.5	?	?	1	-	70	28.3	8	28.2	0	0	
232	B+71.5	?	?	0	-	69	23.9	7.8	23.8	0	0	
233	B+86.5	?	?	1	-	64	29.1	7.5	29.1	0	0	
234	B+73.5	?	?	0	-	65	44.6	7.4	44.5	0	0	
235	B+87.5	?	?	1	-	62	14.3	7.2	14.3	0	0	
236	B+73.5	?	?	0	-	75	16.4	8.2	16.3	0	0	
237	B+87.5	?	?	1	-	74	12.7	8.1	12.7	0	0	
238	B+73.5	?	?	0	-	53	13.4	6.4	13.8	0	0	
239	B+86.5	?	?	1	-	68	40.9	8	40.6	0	0	
240	B+76.5	?	?	0	-	82	27.1	8.7	26.9	0	0	
241	B+87.5	?	?	1	-	62	23.4	7.2	23.4	0	0	
242	B+72.5	?	?	0	-	71	10.8	7.9	10.8	0	0	
243	B+85.5	?	?	1	-	64	13.8	7.4	13.8	0	0	
244	B+73.5	?	?	0	-	59	23.5	6.9	23.5	0	0	
245	B+87.5	?	?	1	-	66	41.9	7.6	41.9	0	0	
246	B+72.5	?	?	0	-	71	73.3	7.9	72.9	0	0	
247	B+60.5	?	?	1	-	70	10.6	7.4	10.6	0	0	
248	B+74.5	?	?	0	-	78	21.6	8.4	21.6	0	0	
249	B+85.5	?	?	1	-	76	23.1	8.4	23	0	0	
250	B+78.5	?	?	0	-	84	23.8	8.7	23.7	0	0	
251	B+86.5	?	?	1	-	72	16.1	7.9	16.1	0	0	
252	B+73.5	?	?	0	-	63	21.8	7.2	21.8	0	0	
253	B+87.5	?	?	1	-	58	27	6.8	27	0	0	
254	B+73.5	?	?	0	-	71	21.7	7.9	21.7	0	0	
255	B+86.5	?	?	1	-	70	14.1	7.9	14.1	0	0	
256	B+73.5	?	?	0	-	69	16.1	7.7	16.1	0	0	
257	B+85.5	?	?	1	-	64	14.4	7.5	14.5	0	0	
258	B+73.5	?	?	0	-	71	28.7	8.2	28.7	0	0	
259	B+87.5	?	?	1	-	64	28.9	7.4	28.8	0	0	
260	B+73.5	?	?	0	-	73	21.8	8	21.7	0	0	
261	B+87.5	?	?	1	-	68	19.2	7.8	19.2	0	0	
262	B+73.5	?	?	0	-	53	19.9	6.3	20	0	0	
263	B+87.5	?	?	1	-	70	38.7	8	38.7	0	0	
264	B+73.5	?	?	0	-	65	26.7	7.4	26.6	0	0	
265	B+87.5	?	?	1	-	64	26.4	7.5	26.5	0	0	
266	B+72.5	?	?	0	-	67	16.7	7.6	16.7	0	0	
267	B+85.5	?	?	1	-	68	38.6	7.8	38.5	0	0	
268	B+73.5	?	?	0	-	73	29.6	8.2	29.5	0	0	
269	B+87.5	?	?	1	-	54	37.5	6.6	38	0	0	
270	B+73.5	?	?	0	-	76	28.3	8.3	28.1	0	0	
271	B+86.5	?	?	1	-	58	8.7	6.8	8.9	0	0	
272	B+81.5	?	?	0	-	88	23.7	9	23.5	0	0	
273	B+87.5	?	?	1	-	60	10.7	6.8	10.8	0	0	
274	B+73.5	?	?	0	-	69	19.4	7.8	19.4	0	0	
275	B+86.5	?	?	1	-	50	26	6.2	26.4	0	0	
276	B+77.5	?	?	0	-	78	20.3	8.5	20.2	0	0	
277	B+87.5	?	?	1	-	62	35.6	7.2	35.5	0	0	
278	B+81.5	?	?	0	-	88	12.1	9.3	12	0	0	
279	B+87.5	?	?	1	-	66	21.2	7.6	21.2	0	0	
280	B+81.5	?	?	0	-	92	21	9.5	20.9	0	0	
281	B+85.5	?	?	1	-	76	15.5	8.4	15.5	0	0	
282	B+77.5	?	?	0	-	86	20.5	8.9	20.4	0	0	
283	B+86.5	?	?	1	-	70	13.6	7.8	13.6	0	0	
284	B+73.5	?	?	0	-	61	29.2	7	29.2	0	0	
285	B+86.5	?	?	1	-	66	15.3	7.7	15.3	0	0	
286	B+74.5	?	?	0	-	70	39.1	8	38.9	0	0	
287	B+87.5	?	?	1	-	64	47.4	7.5	47.4	0	0	
288	B+73.5	?	?	0	-	51	10.9	6.2	11.2	0	0	
289	B+56.5	?	?	1	-	60	10.6	6.8	10.7	0	0	
290	B+73.5	?	?	0	-	69	35.6	7.7	35.6	0	0	
291	B+87.5	?	?	1	-	66	14.7	7.5	14.8	0	0	
292	B+73.5	?	?	0	-	65	33.2	7.3	33.1	0	0	
293	B+87.5	?	?	1	-	72	41.1	8.1	40.9	0	0	
294	B+72.5	?	?	0	-	71	29.6	7.9	29.4	0	0	
295	B+86.5	?	?	1	-	66	23	7.6	22.9	0	0	
296	B+73.5	?	?	0	-	73	28.6	8.1	28.5	0	0	
297	B+86.5	?	?	1	-	60	10.8	7.2	10.8	0	0	
298	B+73.5	?	?	0	-	67	18.9	7.7	19	0	0	
299	B+87.5	?	?	1	-	62	18.9	7.3	19	0	0	
300	B+72.5	?	?	0	-	61	14.3	7	14.4	0	0	
301	B+87.5	?	?	1	-	58	18.2	6.9	18.3	0	0	
302	B+73.5	?	?	0	-	66	30.8	7.6	30.6	0	0	
303	B+87.5	?	?	1	-	62	28.1	7.1	28.2	0	0	
304	B+72.5	?	?	0	-	63	32	7.3	32	0	0	
305	B+87.5	?	?	1	-	72	31	7.9	30.9	0	0	
306	B+81.5	?	?	0	-	88	17.5	9.2	17.4	0	0	
307	B+87.5	?	?	1	-	52	12.5	6.3	12.9	0	0	
308	B+75.5	?	?	0	-	80	20.7	8.8	20.6	0	0	
309	B+87.5	?	?	1	-	64	24.9	7.3	25	0	0	
310	B+73.5	?	?	0	-	73	30.1	8.1	30.1	0	0	
311	B+86.5	?	?	1	-	78	23.6	8.6	23.5	0	0	
312	B+73.5	?	?	0	-	69	17.2	7.6	17.2	0	0	
313	B+87.5	?	?	1	-	70	25.3	7.9	25.2	0	0	
314	B+79.5	?	?	0	-	86	29.8	9.1	29.7	0	0	
315	B+87.5	?	?	1	-	68	32.1	7.9	32	0	0	
316	B+76.5	?	?	0	-	78	18.2	8.5	18.1	0	0	
